component,pinyin,gloss,role,gloss_status,builds_characters,characters
小,xiǎo,small,phonetic,glossed,1,肖
小,xiǎo,small,semantic,glossed,1,少
尤,yóu,blame/fault,semantic,glossed,1,稽
尹,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,君
屋,,,phonetic,"no gloss needed: present for sound, not meaning",1,握
岡,,,phonetic,"no gloss needed: present for sound, not meaning",1,剛
巛,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,順
巠,,,phonetic,"no gloss needed: present for sound, not meaning",1,徑
巤,,,phonetic,"no gloss needed: present for sound, not meaning",1,獵
巸,,,phonetic,"no gloss needed: present for sound, not meaning",1,熙
帀,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,師
帛,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,綿
幵,,,phonetic,"no gloss needed: present for sound, not meaning",1,形
幵,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,開
幸,,,phonetic,"no gloss needed: present for sound, not meaning",1,執
幼,,,phonetic,"no gloss needed: present for sound, not meaning",1,窈
廣,Guǎng,,phonetic,"no gloss needed: present for sound, not meaning",1,曠
廴,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,建
延,,,phonetic,"no gloss needed: present for sound, not meaning",1,埏
建,jiàn,,phonetic,"no gloss needed: present for sound, not meaning",1,楗
廿,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,共
弗,fú,,phonetic,"no gloss needed: present for sound, not meaning",1,費
